Date,Open,High,Low,Close,Volume
2004-01-30,36.6600,39.0000,36.2200,37.0700,1759300400
2004-02-27,37.2000,37.9700,36.1000,36.5700,1728110800
2004-03-31,36.6800,37.1800,34.0100,35.8400,2509465300
2004-04-30,35.8100,37.5000,34.7200,34.7700,2211173100
2004-05-28,35.0000,36.5500,34.1100,36.5500,2429662200
2004-06-30,36.2700,37.9000,35.8200,37.7400,1811072200
2004-07-30,37.6600,37.6600,33.7000,34.8900,2262048100
2004-08-31,34.6100,35.0200,32.3500,34.0200,2012635000
2004-09-30,33.9300,35.8500,33.8000,35.1400,1951089100
2004-10-29,35.4500,37.2400,35.2000,36.9000,2259101600
2004-11-30,36.9800,39.6400,36.8000,39.1200,1978225300
2004-12-31,39.2700,40.6800,37.2100,39.9150,1779424600
2005-01-31,40.0700,40.2920,36.4600,37.4000,2234773200
2005-02-28,37.4900,38.4800,36.6970,37.2200,1765610600
2005-03-31,37.3790,38.2900,35.9400,36.5700,2133973700
2005-04-29,36.8200,37.0700,34.3500,34.9800,2345433600
2005-05-31,35.1000,38.2700,34.8860,38.0800,1881340000
2005-06-30,38.0300,38.6800,36.7000,36.7800,1943627500
2005-07-29,36.8600,39.9210,36.5498,39.5750,1620613000
2005-08-31,39.6400,40.1400,38.2600,38.9800,1714890300
2005-09-30,38.9800,39.9100,38.2400,39.4600,1676662500
2005-10-31,39.5400,39.8800,37.3300,38.8700,2279169700
2005-11-30,38.7600,42.0200,38.7100,41.2400,1718491700
2005-12-30,41.5100,42.3100,40.3600,40.4120,1416706400
2006-01-31,40.6500,43.3100,40.1600,42.0000,1968905800
2006-02-28,41.7400,42.1700,40.2600,41.1000,1646562100
2006-03-31,41.2300,42.3001,40.1900,41.9300,2185862300
2006-04-28,42.1500,43.0500,41.3900,41.8500,1763904700
2006-05-31,41.9200,42.3000,38.2300,38.8200,2709535300
2006-06-30,38.9100,40.0000,37.1600,38.7700,3052135000
2006-07-31,38.8800,39.0000,35.5400,37.1000,2462886000
2006-08-31,36.7900,39.0300,36.2600,38.8700,2281929100
2006-09-29,39.0700,40.9500,38.3199,40.6500,2234461000
2006-10-31,40.6000,42.9200,39.8800,42.5800,2410484000
2006-11-30,42.7300,44.8600,41.6100,44.0400,2370363000
2006-12-29,44.0000,44.7600,42.8800,43.1600,1898275500
2007-01-31,43.4600,45.4000,42.5200,44.0700,2620557700
2007-02-28,44.2700,45.5500,42.9300,43.3300,2394303300
2007-03-30,42.5500,44.4500,42.0600,43.5300,2886831700
2007-04-30,43.6700,46.7000,43.3000,45.9600,1840448700
2007-05-31,45.9700,47.5200,45.6600,47.4100,2575501900
2007-06-29,47.5800,47.9200,46.1600,47.6000,2815209900
2007-07-31,47.7100,50.6600,47.4300,47.5300,2780452500
2007-08-31,47.3900,49.0600,44.4000,48.8700,3658100047
2007-09-28,48.9200,51.6800,47.8100,51.4100,1902374451
2007-10-31,51.4500,55.0700,51.3400,55.0300,3400285100
2007-11-30,54.6800,54.7700,48.6500,51.3100,4567776300
2007-12-31,51.1400,52.8400,49.1900,51.2200,2079451836
2008-01-31,51.2700,51.4700,41.6100,45.1300,4828694600
2008-02-29,45.5200,45.8800,42.1500,42.9500,3020516600
2008-03-31,42.9300,45.0700,41.0500,43.7200,3404279700
2008-04-30,44.4500,48.0600,43.6800,47.2100,2616810900
2008-05-30,47.2300,50.4700,47.2200,50.0100,2682797700
2008-06-30,49.9200,50.6100,44.9700,45.1700,3542909100
2008-07-31,44.8100,46.1500,43.3000,45.4600,3953264300
2008-08-29,45.5100,48.5700,44.3000,46.1200,2893866300
2008-09-30,46.1200,47.0800,37.1800,38.9100,5188670400
2008-10-31,38.8300,38.9700,28.0900,32.8900,7240779800
2008-11-28,32.8100,34.0100,25.0500,29.1200,3919285900
2008-12-31,28.5000,30.8300,26.8404,29.7400,2944238700
2009-01-30,29.7700,31.6300,27.9600,29.0600,2829542600
2009-02-27,28.7800,31.6800,27.3900,27.5300,3324074200
2009-03-31,27.1000,31.4600,25.6301,30.3200,3805123800
2009-04-30,29.9400,34.9000,29.7900,34.2800,2991632100
2009-05-29,34.2800,35.5000,32.9600,35.3800,2734076200
2009-06-30,35.7300,37.2300,34.7700,36.3800,2511948000
2009-07-31,36.5400,40.1800,34.3000,39.4500,2575607800
2009-08-31,39.8500,41.0800,38.4600,40.0300,2248149500
2009-09-30,39.8700,43.1700,39.0200,42.2500,2114774900
2009-10-30,42.1100,43.8200,40.7200,40.9600,2291065900
2009-11-30,41.0100,44.6500,40.6400,43.5600,1807922400
2009-12-31,43.8800,46.3000,43.3200,45.7500,1524036700
2010-01-29,46.3200,46.6400,42.6300,42.7900,2382152500
2010-02-26,42.9100,45.0500,42.1200,44.7600,1932176400
2010-03-31,44.9500,48.6000,44.9500,48.1600,1623606900
2010-04-30,48.3400,50.6500,47.7900,49.2375,1701457500
2010-05-28,49.4300,50.1700,41.5500,45.6000,2952228100
2010-06-30,45.4500,47.6800,42.6400,42.7100,2058088600
2010-07-30,42.8200,46.7200,41.7700,45.8100,1748673600
2010-08-31,46.3800,47.1900,42.9700,43.4600,1483278100
2010-09-30,44.1000,49.8400,44.0700,49.0700,1574743200
2010-10-29,49.4600,52.4900,48.2000,52.1800,1538354800
2010-11-30,52.3800,54.0401,50.8500,52.0850,1564994700
2010-12-31,52.8700,54.9600,52.8400,54.4600,1006766900
2011-01-31,54.9590,57.3500,54.9200,56.0000,1265608600
2011-02-28,56.4194,59.0400,56.1300,57.7689,1101561900
2011-03-31,57.9900,58.3650,53.7700,57.4300,1729243300
2011-04-29,57.7200,59.2900,55.3200,59.0800,1032891200
2011-05-31,59.1900,59.3400,56.4700,58.3600,1054622500
2011-06-30,58.2200,58.3600,53.6150,57.0500,1155628500
2011-07-29,57.1000,59.8300,56.8700,58.0000,1277418400
2011-08-31,58.6700,58.8200,49.9300,55.0600,2526145600
2011-09-30,55.2100,57.3500,51.9100,52.4900,1666877800
2011-10-31,52.0400,59.2000,50.0950,57.9500,1616785100
2011-11-30,56.5600,58.9800,52.8700,56.3900,1295070500
2011-12-30,56.3700,57.6200,54.1700,55.8300,1004361600
2012-01-31,56.9100,60.8600,56.5600,60.5300,828883900
2012-02-29,60.8500,64.9600,60.6600,64.4100,1018602500
2012-03-30,64.6600,68.5100,63.2300,67.5500,1070054300
2012-04-30,67.4600,68.5500,64.4500,66.7600,1056184900
2012-05-31,66.6800,67.6300,60.7600,62.0600,1300328800
2012-06-29,60.9700,64.5700,60.0400,64.1600,973815200
2012-07-31,64.2300,65.3100,61.8600,64.8000,860805100
2012-08-31,65.2500,68.8800,63.9100,68.1600,679866200
2012-09-28,68.0300,70.5800,67.4200,68.5700,639521900
2012-10-31,68.9000,69.8000,64.6500,64.9500,863124200
2012-11-30,65.3200,66.2100,61.3100,65.8000,901783900
2012-12-31,66.3200,66.7600,63.5800,65.1301,815856000
2013-01-31,66.6900,67.7900,66.1700,66.8700,741836700
2013-02-28,67.3400,68.2600,65.9600,67.1000,656562100
2013-03-28,66.8600,69.0600,66.5400,68.9700,557979300
2013-04-30,69.0100,70.7300,66.8800,70.7200,835537700
2013-05-31,70.7100,74.9500,70.2500,73.2500,680414200
2013-06-28,73.3100,73.8200,69.1500,71.2700,748561600
2013-07-31,71.7600,76.2099,71.3500,75.7700,581695700
2013-08-30,76.3000,77.2800,74.9600,75.4700,529245500
2013-09-30,76.1000,79.6850,75.5400,78.8800,503988800
2013-10-31,78.8700,83.4850,76.3500,82.7400,817353700
2013-11-29,83.0200,85.8400,81.3700,85.7300,542339400
2013-12-31,85.8300,87.9600,84.0500,87.9600,651649200
2014-01-31,87.5500,89.0000,84.7600,86.2700,831732700
2014-02-28,86.1400,90.9600,83.7400,90.3400,713558700
2014-03-31,89.4800,91.3600,86.4000,87.6700,809345400
2014-04-30,88.1000,89.6800,83.2800,87.3900,1141355300
2014-05-30,87.5300,91.4500,85.5300,91.3100,789193700
2014-06-30,91.4300,94.1400,90.6400,93.9100,567025900
2014-07-31,94.2100,97.5100,93.6300,95.0200,661530400
2014-08-29,94.8300,99.9141,93.8850,99.7800,645904700
2014-09-30,100.0400,100.5646,97.7000,98.7900,752551199
2014-10-31,98.5400,101.7500,90.2400,101.4000,1285041466
2014-11-28,101.5300,106.2450,100.6700,106.0100,434990284
2014-12-31,105.7200,105.9199,99.9200,103.2500,815702447
2015-01-30,103.7600,104.5800,99.3600,101.1000,825716961
2015-02-27,101.3300,108.9400,99.7500,108.4000,472456510
2015-03-31,108.6100,109.4200,104.2400,105.6000,633635703
2015-04-30,105.6000,111.1600,104.3400,107.6300,568699436
2015-05-29,108.0500,111.0800,105.9950,110.0500,518233530
2015-06-30,110.6400,111.1300,106.6400,107.0700,577030487
2015-07-31,108.1300,114.3900,105.8300,111.9500,644885755
2015-08-31,111.9700,113.0000,84.7400,104.3100,1008941194
2015-09-30,101.6800,108.7250,98.7500,101.7400,878864690
2015-10-30,101.9400,114.0800,100.4800,113.3300,740627404
2015-11-30,113.6300,115.4700,109.4800,114.0200,543322543
2015-12-31,114.4750,115.7500,109.3800,111.8600,757509404
2016-01-29,109.4300,110.1800,97.2500,104.1300,1077308355
2016-02-29,103.6200,104.8000,94.8400,102.5000,942259672
2016-03-31,103.4500,110.0400,103.1600,109.2000,601840590
2016-04-29,108.5800,111.4400,104.8800,105.7200,559253781
2016-05-31,105.9700,110.5100,104.4000,110.3400,537649166
2016-06-30,110.0000,110.7500,101.7500,107.5400,580005672
2016-07-29,107.4900,115.5400,106.5700,115.2300,421072614
2016-08-31,115.3100,118.7799,114.2200,116.4400,369269665
2016-09-30,116.4800,119.2200,113.6300,118.7200,541701754
2016-10-31,118.5300,119.6600,115.9400,116.9900,406941836
2016-11-30,117.1900,119.5100,113.4500,117.5000,598118817
2016-12-30,117.4600,121.5200,115.2200,118.4800,498414419
2017-01-31,119.3100,125.9211,118.8900,124.5700,366254486
2017-02-28,125.4200,130.7000,124.8600,130.0200,307437473
2017-03-31,130.8100,132.7400,129.4000,132.3800,442963518
2017-04-28,132.4800,136.3400,130.3800,135.9900,388205919
2017-05-31,136.4600,141.8400,135.8700,141.2900,532662652
2017-06-30,141.5700,143.9000,136.2500,137.6400,1045981938
2017-07-31,138.2700,145.9600,135.8000,143.2300,704905132
2017-08-31,143.7000,146.2100,140.1800,146.2000,810430745
2017-09-29,146.3600,146.5900,142.1000,145.4500,632232238
2017-10-31,145.6700,152.3700,144.9300,152.1500,548261702
2017-11-30,152.7500,156.6900,150.7700,155.1500,582285686
2017-12-29,154.2000,158.7700,152.0600,155.7600,622178014
2018-01-31,156.5600,170.9500,156.1700,169.4000,698394830
2018-02-28,168.1000,170.7300,150.1250,167.2100,1179841225
2018-03-29,167.3000,175.2100,156.0400,160.1300,1085306589
2018-04-30,158.9900,167.0000,153.8800,160.9400,987685050
2018-05-31,160.5200,171.2000,159.2200,170.0700,687987327
2018-06-29,170.9200,177.9800,169.1700,171.6500,784338787
2018-07-31,170.0400,182.9300,169.6700,176.4500,709034457
2018-08-31,176.8600,187.5200,175.7900,186.6500,667522923
2018-09-28,186.0800,186.4900,180.4400,185.7900,645534390
2018-10-31,186.8700,187.5300,160.0900,169.8200,1817070618
2018-11-30,170.0700,175.5800,157.1300,169.3700,1152121570
2018-12-31,173.1100,173.3100,143.4600,154.2600,1395544303
2019-01-31,150.9900,168.9900,149.4900,168.1600,933652357
2019-02-28,167.3300,174.6600,166.5700,173.1900,535963967
2019-03-29,174.4400,182.8300,169.3400,179.6600,781972778
2019-04-30,181.5100,191.3200,180.7700,189.5400,550157653
2019-05-31,190.7800,191.3200,173.8700,173.9500,901553894
2019-06-28,173.4800,189.7700,169.2700,186.7400,688730551
2019-07-31,190.3200,195.5500,188.3800,191.1000,494381316
2019-08-30,191.4300,194.9800,179.2000,187.4700,817442823
2019-09-30,186.2200,194.7100,185.0300,188.8100,556686903
2019-10-31,189.5000,197.8300,181.8200,197.0800,585004593
2019-11-29,197.9300,206.0500,197.6300,205.1000,352359439
2019-12-31,205.1100,214.5600,199.2300,212.6100,430876958
2020-01-31,214.4000,225.8800,212.2400,219.0700,586516030
2020-02-28,220.1400,237.4700,198.1700,205.8000,954555771
2020-03-31,208.8800,219.6100,164.9300,190.4000,2191775633
2020-04-30,184.7700,220.0400,180.8600,218.9100,1092313731
2020-05-29,214.5000,233.6000,211.1200,233.3600,845912749
2020-06-30,232.4600,251.1500,231.4700,247.6000,928724405
2020-07-31,247.6400,269.7900,247.0800,265.7900,926824942
2020-08-31,268.0500,296.7450,264.6300,294.8800,701465501
2020-09-30,297.6000,303.5000,260.1100,277.8400,1325797316
2020-10-30,281.7900,297.4600,267.0700,269.3800,937156210
2020-11-30,271.7300,300.1700,266.9700,299.6200,751155107
2020-12-31,301.8700,314.6850,298.0900,313.7400,569508586
2021-01-29,315.1100,330.3200,305.1800,314.5600,654958113
2021-02-26,318.1100,338.1900,310.8800,314.1400,787846094
2021-03-31,319.2700,324.3300,297.4500,319.1300,1621565283
2021-04-30,323.0700,342.8000,322.8100,337.9900,771172902
2021-05-28,339.2300,340.0000,316.0000,333.9300,965410817
2021-06-30,335.3000,355.2300,328.2800,354.4300,750141680
2021-07-30,354.0700,368.8900,352.0400,364.5700,810779894
2021-08-31,366.2800,380.7600,359.9600,379.9500,683466003
2021-09-30,381.0400,382.7780,357.1000,357.9600,931919464
2021-10-29,358.6000,386.2800,350.3200,386.1100,878747851
2021-11-30,386.5600,408.7100,384.4200,393.8200,918420328
2021-12-31,398.2800,404.5800,377.4700,397.8500,1233015641
2022-01-31,399.0500,402.2800,334.1500,363.0500,1844761586
2022-02-28,364.4300,370.1000,318.2600,346.8000,1521356117
2022-03-31,345.7500,371.8300,317.4500,362.5400,1681947244
2022-04-29,362.8100,369.3100,312.6000,313.2500,1494180198
2022-05-31,312.8300,330.2900,280.2100,308.2800,1949869755
2022-06-30,310.4700,314.5600,269.2800,280.2800,1359865166
2022-07-29,278.9500,316.3900,276.7501,315.4600,1178025678
2022-08-31,313.6500,334.4209,298.4400,299.2700,1069415562
2022-09-30,296.7200,311.0800,267.1000,267.2600,1368648571
2022-10-31,269.0700,284.6000,254.2600,277.9500,1357214748
2022-11-30,281.4950,293.4700,259.0800,293.3600,1195715018
2022-12-30,293.6900,296.8750,259.7300,266.2800,1057037645
2023-01-31,268.6500,298.2600,260.3400,294.6200,961927648
2023-02-28,294.4100,313.6800,290.0500,293.5600,1094751646
2023-03-31,293.2600,321.1700,285.1900,320.9300,1545364607
2023-04-28,318.7700,322.6500,309.8900,322.5600,991124919
2023-05-31,322.0900,353.9300,315.1150,347.9900,1148337991
2023-06-30,347.7300,372.8500,346.6600,369.4200,1138190013
2023-07-31,370.0700,387.9800,363.4100,383.6800,974887210
2023-08-31,382.3100,383.5600,354.7100,377.9900,1202809086
2023-09-29,380.4000,380.8300,351.3600,358.2700,960069773
